,edge,ligand_A,ligand_B,ddg_expt,ddg,ddg_booterr,ddg_BARerr,dg_water_rep1,dg_water_rep1_booterr,dg_water_rep1_BARerr,dg_water_rep2,dg_water_rep2_booterr,dg_water_rep2_BARerr,dg_water_rep3,dg_water_rep3_booterr,dg_water_rep3_BARerr,dg_protein_rep1,dg_protein_rep1_booterr,dg_protein_rep1_BARerr,dg_protein_rep2,dg_protein_rep2_booterr,dg_protein_rep2_BARerr,dg_protein_rep3,dg_protein_rep3_booterr,dg_protein_rep3_BARerr,target,group
12,edge_CAT-17b_CAT-13d,CAT-17b,CAT-13d,-1.882799201965332,-0.5800000000000054,0.4066360786772916,0.3825295394906143,32.45,0.2,0.2,32.35,0.18,0.18,31.67,0.19,0.2,31.12,0.48,0.44,32.06,0.42,0.34,31.55,0.4,0.35,bace,jacs_set
13,edge_CAT-13d_CAT-17d,CAT-13d,CAT-17d,4.393196807861329,5.780000000000001,1.8640913793643148,1.8710870475903043,-61.84,0.22,0.22,-61.3,0.23,0.21,-61.66,0.22,0.21,-53.45,0.5,0.64,-60.29,0.69,0.7,-53.72,0.39,0.48,bace,jacs_set
14,edge_CAT-13d_CAT-17h,CAT-13d,CAT-17h,0.5857574462890626,1.886666666666665,0.29257930560238204,0.2886832084128574,-12.43,0.21,0.19,-12.09,0.2,0.19,-12.37,0.18,0.19,-10.35,0.21,0.22,-10.0,0.29,0.28,-10.88,0.23,0.24,bace,jacs_set
15,edge_CAT-13e_CAT-17g,CAT-13e,CAT-17g,0.9204811172485352,7.189999999999998,3.74059940448658,3.7537840326069736,45.59,0.3,0.88,45.38,0.52,0.92,52.34,0.35,0.37,57.22,0.39,0.31,47.33,1.09,1.14,60.33,0.34,0.29,bace,jacs_set
16,edge_CAT-13e_CAT-17i,CAT-13e,CAT-17i,2.050163032531738,6.136666666666667,2.110677032001812,2.136284191500577,-15.39,0.82,0.84,-10.59,0.34,0.37,-16.95,0.3,0.92,-6.41,0.38,0.38,-11.51,0.58,0.69,-6.6,0.37,0.33,bace,jacs_set
17,edge_CAT-17i_CAT-13f,CAT-17i,CAT-13f,1.5899164886474608,2.25,0.381818245178898,0.4366268747773866,10.4,0.31,0.3,10.81,0.36,0.33,10.51,0.31,0.31,13.03,0.4,0.44,12.6,0.57,0.61,12.84,0.56,0.86,bace,jacs_set
18,edge_CAT-13g_CAT-17g,CAT-13g,CAT-17g,-2.719598403930664,0.7933333333333366,1.5212209737812556,1.5639879563779262,51.91,0.32,0.33,51.32,0.35,0.32,49.52,0.37,0.42,50.52,0.69,0.76,49.69,0.8,1.01,54.92,0.85,0.74,bace,jacs_set
19,edge_CAT-13g_CAT-17i,CAT-13g,CAT-17i,-1.5899164886474608,-3.706666666666667,1.522472173827532,1.5185989601723795,-16.54,0.4,0.32,-15.85,0.28,0.28,-16.82,0.31,0.32,-20.07,0.74,0.72,-17.14,1.04,0.89,-23.12,0.78,0.69,bace,jacs_set
20,edge_CAT-13h_CAT-17i,CAT-13h,CAT-17i,0.6694433517456051,-2.7133333333333383,2.2747748719028813,2.256304710314725,-43.39,0.27,0.28,-42.02,0.24,0.29,-43.31,0.27,0.29,-50.95,0.66,0.58,-43.7,0.47,0.59,-42.21,0.41,0.4,bace,jacs_set
21,edge_CAT-17g_CAT-13i,CAT-17g,CAT-13i,1.9664811172485352,2.2733333333333405,0.604487684572215,0.909541545535417,-39.68,0.37,0.4,-40.02,0.31,0.41,-40.08,0.35,0.36,-37.4,0.79,0.95,-37.37,1.08,0.89,-38.19,0.77,2.2,bace,jacs_set
22,edge_CAT-4m_CAT-13j,CAT-4m,CAT-13j,1.7572803192138673,-0.12000000000000452,0.6485300835047646,0.6428248972095284,-101.91,0.3,0.39,-101.85,0.4,0.37,-102.16,0.32,0.36,-100.99,0.44,0.43,-103.34,0.42,0.4,-101.95,0.47,0.35,bace,jacs_set
23,edge_CAT-13j_CAT-4o,CAT-13j,CAT-4o,-2.719602394104004,-0.5233333333333405,0.5442264070632841,0.5765441715336579,167.78,0.36,0.34,167.23,0.28,0.35,167.3,0.43,0.37,167.69,0.36,0.59,167.14,0.38,0.44,165.91,0.47,0.49,bace,jacs_set
24,edge_CAT-13n_CAT-13k,CAT-13n,CAT-13k,-4.853439361572266,-2.4499999999999886,0.8046329772362814,0.8241719491972597,349.05,0.24,0.27,349.4,0.29,0.28,349.34,0.26,0.27,346.61,0.46,0.59,348.5,0.39,0.31,345.33,0.4,0.57,bace,jacs_set
25,edge_CAT-4a_CAT-13k,CAT-4a,CAT-13k,-7.405679920196533,-0.1600000000000108,1.324627009039368,1.337184434061443,-101.58,0.22,0.22,-101.18,0.25,0.22,-100.71,0.28,0.26,-101.25,0.5,0.47,-98.78,0.65,0.49,-103.92,0.91,1.32,bace,jacs_set
26,edge_CAT-13k_CAT-4b,CAT-13k,CAT-4b,0.292878723144531,-6.973333333333336,1.508457628772437,1.5411204260586822,67.21,0.3,0.28,67.23,0.25,0.25,67.64,0.24,0.28,59.73,0.68,0.89,57.68,0.45,0.51,63.75,0.68,1.05,bace,jacs_set
27,edge_CAT-13k_CAT-4d,CAT-13k,CAT-4d,2.4685606384277343,-5.833333333333336,1.9742621388142767,1.9947501840649104,56.06,0.36,0.37,56.56,0.3,0.34,56.33,0.34,0.37,46.39,0.67,0.71,50.52,0.81,0.88,54.54,0.84,0.96,bace,jacs_set
28,edge_CAT-4l_CAT-13k,CAT-4l,CAT-13k,-1.5062385635375977,-2.920000000000016,2.0571240429011994,2.1421759019070734,-339.54,0.26,0.3,-339.51,0.3,0.31,-339.66,0.32,0.33,-339.01,0.72,1.06,-347.16,0.98,1.8,-341.3,0.64,0.88,bace,jacs_set
29,edge_CAT-4m_CAT-13k,CAT-4m,CAT-13k,-2.3012007980346683,3.696666666666658,2.3983338988186214,2.403529551797941,-69.77,0.26,0.26,-70.24,0.23,0.24,-69.95,0.24,0.24,-71.36,0.44,0.4,-66.26,0.5,0.4,-61.25,0.48,0.37,bace,jacs_set
30,edge_CAT-4n_CAT-13k,CAT-4n,CAT-13k,-2.552238563537598,3.240000000000002,0.7155146723764163,0.7344865306906437,-37.04,0.26,0.27,-37.28,0.23,0.25,-37.31,0.27,0.25,-35.4,0.49,0.45,-33.8,0.41,0.64,-32.71,0.49,0.48,bace,jacs_set
31,edge_CAT-4p_CAT-13k,CAT-4p,CAT-13k,1.5899204788208006,4.829999999999998,0.9602057170539942,0.9698985899510169,-96.52,0.23,0.26,-96.64,0.26,0.26,-96.73,0.25,0.23,-93.39,0.51,0.59,-92.31,0.67,0.61,-89.7,0.45,0.52,bace,jacs_set
32,edge_CAT-4i_CAT-13m,CAT-4i,CAT-13m,-2.092,-4.403333333333308,1.5903558571317558,1.577398646397778,-320.42,0.3,0.26,-319.71,0.22,0.25,-320.28,0.21,0.27,-324.63,0.46,0.33,-327.68,0.85,0.7,-321.31,0.94,0.94,bace,jacs_set
33,edge_CAT-4m_CAT-13m,CAT-4m,CAT-13m,1.6317614364624025,-0.7800000000000864,1.3937995278476094,1.420841465908652,-362.12,0.23,0.25,-362.47,0.25,0.25,-362.53,0.17,0.21,-361.14,0.4,0.4,-366.47,0.43,0.88,-361.85,0.42,0.42,bace,jacs_set
34,edge_CAT-13n_CAT-4i,CAT-13n,CAT-4i,1.1715228729248048,2.4133333333333558,0.5241268058149942,0.6788883827189691,384.29,0.27,0.25,384.69,0.24,0.26,384.06,0.21,0.24,387.05,0.89,1.26,387.17,0.47,1.19,386.06,0.52,0.5,bace,jacs_set
35,edge_CAT-13o_CAT-17h,CAT-13o,CAT-17h,-7.489359840393066,-10.99333333333334,1.2438671678499855,1.2409556793028491,107.52,0.39,0.4,106.41,0.41,0.41,107.17,0.43,0.39,94.8,0.68,0.66,94.52,0.8,0.68,98.8,0.7,0.69,bace,jacs_set
36,edge_CAT-13o_CAT-17i,CAT-13o,CAT-17i,-3.891117286682129,-8.966666666666683,1.3724380822673845,1.332285695323964,86.42,0.43,0.4,86.01,0.38,0.4,86.32,0.42,0.36,80.26,1.13,0.99,76.32,0.75,0.47,75.27,0.63,0.77,bace,jacs_set
37,edge_CAT-17i_CAT-17a,CAT-17i,CAT-17a,-5.271840957641602,-3.91,0.3918519668661224,0.4103331481450993,27.21,0.21,0.23,26.96,0.22,0.22,27.02,0.22,0.23,23.7,0.35,0.32,22.4,0.31,0.37,23.36,0.28,0.4,bace,jacs_set
38,edge_CAT-17b_CAT-17e,CAT-17b,CAT-17e,0.0,-0.7366666666666646,0.2916286586640292,0.2988323679563318,80.86,0.18,0.17,79.96,0.16,0.18,80.09,0.21,0.19,79.5,0.22,0.23,79.75,0.22,0.24,79.45,0.22,0.27,bace,jacs_set
39,edge_CAT-17c_CAT-17e,CAT-17c,CAT-17e,-0.6694393615722654,2.786666666666669,1.0702792413969675,1.0885232483402576,41.38,0.24,0.24,42.06,0.26,0.24,41.72,0.24,0.22,45.74,0.47,0.67,42.02,0.44,0.56,45.76,0.5,0.44,bace,jacs_set
40,edge_CAT-17g_CAT-17c,CAT-17g,CAT-17c,-0.5020795211791991,-6.273333333333333,2.28123721358187,2.274756180285208,-17.86,0.19,0.18,-18.26,0.18,0.21,-18.31,0.19,0.21,-29.63,0.25,0.3,-20.22,0.43,0.33,-23.4,0.65,0.6,bace,jacs_set
41,edge_CAT-17g_CAT-17d,CAT-17g,CAT-17d,1.3388787231445312,1.8066666666666573,0.3208265266680123,0.3198325543822607,-91.83,0.19,0.19,-91.87,0.15,0.18,-91.71,0.19,0.19,-89.96,0.27,0.25,-89.47,0.28,0.26,-90.56,0.26,0.25,bace,jacs_set
42,edge_CAT-17f_CAT-17e,CAT-17f,CAT-17e,-2.5103976058959963,-1.6400000000000006,0.910515083093347,0.9070191681211324,111.47,0.23,0.22,112.13,0.21,0.23,111.92,0.23,0.23,108.14,0.36,0.4,111.07,0.45,0.47,111.39,0.49,0.4,bace,jacs_set
43,edge_CAT-24_CAT-17e,CAT-24,CAT-17e,5.552170585632324,7.296666666666667,1.127702907620879,1.1434993271900982,74.5,0.21,0.26,73.3,0.24,0.24,72.95,0.24,0.25,79.87,0.42,0.66,79.45,0.74,0.76,83.32,0.48,0.51,bace,jacs_set
44,edge_CAT-17g_CAT-17f,CAT-17g,CAT-17f,1.3388787231445312,-4.933333333333309,0.9836643277129726,1.0199522789069675,-87.76,0.2,0.2,-87.45,0.21,0.2,-87.39,0.19,0.2,-90.22,0.3,0.62,-92.98,0.34,0.38,-94.2,0.24,0.55,bace,jacs_set
45,edge_CAT-24_CAT-17i,CAT-24,CAT-17i,7.853371383666992,12.910000000000002,2.163985935546876,2.1622866495644897,-14.1,0.28,0.26,-13.68,0.27,0.27,-13.95,0.27,0.27,4.24,0.31,0.36,-3.84,0.54,0.47,-3.4,0.49,0.51,bace,jacs_set
46,edge_CAT-4a_CAT-4o,CAT-4a,CAT-4o,-6.066801197052002,-2.4200000000000017,0.8109072035412206,0.8114460194774207,28.64,0.17,0.19,28.25,0.21,0.2,28.44,0.25,0.21,25.27,0.26,0.35,27.92,0.26,0.31,24.88,0.28,0.23,bace,jacs_set
47,edge_CAT-4o_CAT-4b,CAT-4o,CAT-4b,-1.046,-6.15000000000002,0.9607709182058128,0.9951021390013268,-67.69,0.24,0.25,-68.6,0.24,0.23,-68.16,0.24,0.22,-76.31,0.45,0.34,-73.79,0.68,0.94,-72.8,0.73,0.93,bace,jacs_set
48,edge_CAT-4m_CAT-4c,CAT-4m,CAT-4c,5.439198802947998,0.0966666666666657,0.7546400752752148,1.0783280803926865,-7.73,0.32,0.34,-8.36,0.25,0.3,-7.99,0.29,0.34,-9.32,0.62,0.51,-6.95,0.95,2.53,-7.52,0.59,0.52,bace,jacs_set
49,edge_CAT-4c_CAT-4o,CAT-4c,CAT-4o,-6.401520877838135,-5.13000000000001,0.9766249687796076,1.020010855800548,70.37,0.2,0.24,70.89,0.22,0.27,71.31,0.26,0.25,65.88,0.59,0.77,67.51,0.48,0.59,63.79,0.74,0.87,bace,jacs_set
50,edge_CAT-4o_CAT-4d,CAT-4o,CAT-4d,1.1296819152832032,2.136666666666656,2.9677530129334406,4.336713151487837,-79.01,0.32,0.35,-79.63,0.29,0.3,-79.52,0.3,0.3,-84.43,0.67,1.06,-73.36,0.61,8.71,-73.96,1.0,2.95,bace,jacs_set
51,edge_CAT-4m_CAT-4j,CAT-4m,CAT-4j,0.5439204788208005,5.493333333333336,1.134524593955648,1.1649326030768827,-29.06,0.17,0.21,-28.8,0.21,0.21,-29.12,0.19,0.21,-26.2,0.38,0.34,-21.96,0.37,0.69,-22.34,0.31,0.64,bace,jacs_set
52,edge_CAT-4j_CAT-4o,CAT-4j,CAT-4o,-1.5062425537109376,-2.2199999999999847,0.7685502800149144,0.76768198310101,90.83,0.18,0.18,91.19,0.2,0.19,90.66,0.17,0.17,88.47,0.29,0.29,87.24,0.3,0.27,90.31,0.33,0.34,bace,jacs_set
53,edge_CAT-4m_CAT-4k,CAT-4m,CAT-4k,5.439198802947998,6.040000000000006,2.3655483212564663,2.3693888685657303,-84.38,0.21,0.23,-84.1,0.22,0.22,-84.02,0.23,0.23,-73.92,0.47,0.6,-76.88,0.68,0.9,-83.58,0.51,0.51,bace,jacs_set
54,edge_CAT-4k_CAT-4o,CAT-4k,CAT-4o,-6.401520877838135,-5.056666666666672,0.8853212685044275,0.8847148539851328,145.68,0.23,0.2,145.92,0.19,0.2,145.69,0.21,0.2,142.48,0.29,0.27,140.73,0.47,0.52,138.91,0.34,0.39,bace,jacs_set
55,edge_CAT-4m_CAT-4l,CAT-4m,CAT-4l,-0.7949622344970704,6.726666666666631,3.2020486925148592,3.2137473915572343,272.24,0.26,0.28,272.15,0.25,0.28,272.34,0.28,0.28,284.69,0.67,0.83,280.65,0.64,0.65,271.57,0.62,0.83,bace,jacs_set
56,edge_CAT-4m_CAT-4n,CAT-4m,CAT-4n,0.2510377655029296,-1.5300000000000011,0.7569121330047415,0.7675915354308042,-30.65,0.21,0.2,-30.78,0.17,0.19,-30.92,0.18,0.19,-33.31,0.31,0.34,-30.55,0.3,0.43,-33.08,0.42,0.46,bace,jacs_set
57,edge_CAT-4m_CAT-4p,CAT-4m,CAT-4p,-3.891121276855469,-2.1966666666666623,0.2753729111907019,0.2755003559288955,26.31,0.17,0.19,26.56,0.2,0.19,26.84,0.17,0.17,24.75,0.24,0.26,24.04,0.25,0.25,24.33,0.26,0.27,bace,jacs_set
58,edge_17_1h1q,17,1h1q,-4.769761436462402,3.536666666666668,0.3911421010803572,0.4082705531310461,6.68,0.3,0.27,6.42,0.29,0.29,6.08,0.22,0.27,9.65,0.24,0.3,9.48,0.25,0.31,10.66,0.2,0.22,cdk2,jacs_set
59,edge_17_21,17,21,-3.3053598403930664,-3.7866666666666613,0.924222924590564,0.9285802564787036,-70.51,0.27,0.3,-69.89,0.33,0.32,-73.25,0.26,0.24,-75.6,0.29,0.26,-74.32,0.32,0.26,-75.09,0.25,0.26,cdk2,jacs_set
60,edge_17_22,17,22,-3.4308807182312013,-0.3866666666666702,1.1142430346615493,1.1118480943423203,-30.44,0.26,0.29,-30.08,0.29,0.3,-30.03,0.31,0.29,-29.72,0.37,0.29,-33.17,0.38,0.32,-28.82,0.28,0.25,cdk2,jacs_set
61,edge_1oiu_1h1q,1oiu,1h1q,3.765598403930664,14.903333333333308,1.2543825745114752,1.2329119953156684,557.85,0.66,0.65,559.33,0.64,0.63,560.06,0.64,0.63,572.37,1.34,1.11,573.62,1.16,1.06,575.96,0.87,0.92,cdk2,jacs_set
62,edge_1oiy_1h1q,1oiy,1h1q,6.736238563537598,11.416666666666655,1.258845574299124,1.3462538122781318,217.97,0.32,0.32,218.75,0.29,0.3,218.41,0.34,0.32,226.88,0.56,1.4,231.18,0.65,0.67,231.32,0.53,0.46,cdk2,jacs_set
63,edge_20_1h1q,20,1h1q,2.2593598403930666,2.6899999999999995,1.7878735369372873,1.8323389058781585,14.0,0.29,0.29,14.13,0.31,0.33,13.7,0.34,0.3,20.53,1.1,1.82,15.83,0.84,1.13,13.54,0.86,0.76,cdk2,jacs_set
64,edge_26_1h1q,26,1h1q,1.046,5.340000000000001,1.083125110235966,1.1101036070362322,-10.05,0.27,0.29,-9.73,0.24,0.26,-10.24,0.3,0.28,-7.13,0.4,0.6,-3.99,0.33,0.48,-2.88,0.3,0.36,cdk2,jacs_set
65,edge_1h1r_1oi9,1h1r,1oi9,-8.660878723144531,-6.436666666666667,0.7415723662818998,0.7217524462414242,-42.17,0.32,0.32,-42.42,0.25,0.32,-42.57,0.29,0.33,-47.49,0.52,0.43,-50.19,0.54,0.56,-48.79,0.58,0.43,cdk2,jacs_set
66,edge_1h1r_21,1h1r,21,-0.6694393615722654,-2.3299999999999983,0.8628553483485919,0.8619805800510933,-55.39,0.28,0.24,-53.05,0.26,0.29,-55.33,0.27,0.24,-58.15,0.26,0.26,-56.73,0.29,0.26,-55.88,0.31,0.29,cdk2,jacs_set
67,edge_22_1h1r,22,1h1r,0.7949602394104001,-0.4633333333333347,0.7725139655317371,0.7641278413850192,12.3,0.27,0.28,12.74,0.27,0.3,12.57,0.26,0.28,10.31,0.32,0.29,13.02,0.42,0.3,12.89,0.31,0.26,cdk2,jacs_set
68,edge_1h1s_1oiy,1h1s,1oiy,6.108640159606935,1.78333333333336,1.314447185141698,1.4130764108878189,505.82,0.46,0.51,505.73,0.48,0.57,506.58,0.45,0.49,509.5,0.92,1.28,508.64,1.5,1.97,505.34,1.34,1.16,cdk2,jacs_set
69,edge_1h1s_26,1h1s,26,11.798878723144531,11.826666666666595,1.647368540445166,2.0486988767655387,717.46,0.53,0.58,716.75,0.5,0.55,717.77,0.59,0.58,727.08,1.53,2.01,727.96,1.52,2.76,732.42,1.21,2.8,cdk2,jacs_set
70,edge_1oiy_1oi9,1oiy,1oi9,0.2092007980346676,0.5833333333333144,0.6675195912763122,0.7712717788302591,154.49,0.63,0.64,153.6,0.47,0.51,153.76,0.4,0.5,154.02,0.7,0.7,154.15,0.74,1.12,155.43,0.71,0.99,cdk2,jacs_set
71,edge_1oi9_20,1oi9,20,4.267677925109864,6.676666666666662,1.535066989522326,2.342850669937152,50.34,0.35,0.4,49.66,0.35,0.37,50.16,0.41,0.37,55.37,0.6,0.75,54.61,0.62,5.03,60.21,0.95,2.28,cdk2,jacs_set
72,edge_26_1oi9,26,1oi9,-5.48103776550293,-7.176666666666662,3.163356534085445,3.2373633642351662,-74.44,0.33,0.38,-74.33,0.33,0.39,-74.59,0.37,0.38,-84.69,0.73,1.87,-86.2,1.08,1.14,-74.0,0.43,0.5,cdk2,jacs_set
73,edge_1oiu_26,1oiu,26,2.719598403930664,10.516666666666763,1.384908476934844,1.5266702706939883,567.56,0.72,0.72,569.53,0.54,0.6,569.07,0.63,0.67,580.73,1.9,1.79,577.08,1.09,1.69,579.9,1.36,1.93,cdk2,jacs_set
74,edge_1oiy_29,1oiy,29,-0.3765606384277343,-0.2866666666666901,0.8271324580358267,0.9171655909604028,-154.77,0.4,0.51,-154.45,0.41,0.52,-154.37,0.52,0.49,-154.08,0.65,1.13,-154.75,1.18,1.11,-155.62,1.62,1.7,cdk2,jacs_set
75,edge_1oiy_31,1oiy,31,1.046,2.90333333333335,1.4596316630664037,1.4835151089511756,96.15,0.33,0.34,95.74,0.33,0.36,94.9,0.34,0.37,98.68,0.88,1.26,101.25,0.82,0.83,95.57,0.66,0.6,cdk2,jacs_set
76,edge_1oiy_32,1oiy,32,0.1673598403930662,-1.0033333333332166,3.635280380191204,4.200542366541574,-716.4,0.79,0.75,-708.97,1.11,2.82,-718.22,0.84,0.67,-719.06,2.98,3.34,-717.9,1.7,5.85,-709.64,1.37,2.32,cdk2,jacs_set
77,edge_28_26,28,26,11.21311728668213,13.499999999999886,1.9230074611205512,2.4103369729090587,535.43,0.48,0.51,535.9,0.55,0.5,536.78,0.52,0.54,550.9,1.89,2.68,551.8,0.97,4.24,545.91,2.39,2.3,cdk2,jacs_set
78,edge_29_26,29,26,6.066799201965332,3.453333333333376,2.26998361909394,2.314112549102903,350.91,0.5,0.52,351.64,0.58,0.54,351.09,0.58,0.53,352.51,2.55,2.92,352.16,2.13,1.56,359.33,1.52,1.81,cdk2,jacs_set
79,edge_30_26,30,26,5.773920478820801,2.2666666666667084,2.1266606517628333,2.170085456272217,369.97,0.4,0.38,369.31,0.45,0.4,370.55,0.3,0.39,375.17,0.82,1.23,374.27,0.69,0.64,367.19,0.69,0.69,cdk2,jacs_set
80,edge_28_31,28,31,6.568878723144532,9.416666666666572,1.3823734218937782,1.6232992474907495,385.66,0.5,0.42,385.51,0.38,0.38,385.18,0.44,0.43,394.03,1.79,1.94,397.52,1.2,2.0,393.05,1.02,1.89,cdk2,jacs_set
81,edge_30_31,30,31,1.1296819152832032,3.0133333333333496,0.5635368285581405,0.5963131885658309,219.96,0.34,0.32,219.88,0.3,0.3,219.43,0.28,0.33,222.96,0.43,0.44,223.62,0.43,0.49,221.73,0.45,0.7,cdk2,jacs_set
82,edge_31_32,31,32,-0.8786401596069334,-3.9733333333333576,2.922242744723195,3.744858618614641,-794.9,0.68,0.86,-797.25,0.59,0.65,-796.9,0.58,0.66,-800.27,1.15,6.84,-806.21,1.02,2.89,-794.49,1.32,1.37,cdk2,jacs_set
83,edge_18627-1_17124-1,18627-1,17124-1,-5.020803192138672,-17.819999999999997,2.606172242253333,2.634129507789274,-18.94,0.38,0.43,-10.19,1.66,1.57,-9.68,0.77,1.06,-31.64,1.06,1.19,-30.52,0.91,1.07,-30.11,0.56,0.63,jnk1,jacs_set
84,edge_17124-1_18634-1,17124-1,18634-1,-1.2970377655029297,3.056666666666666,0.5934056528104873,0.5835894512839305,-1.63,0.37,0.44,-2.48,0.47,0.46,-1.66,0.45,0.42,2.01,0.28,0.28,0.11,0.3,0.25,1.28,0.28,0.27,jnk1,jacs_set
85,edge_18627-1_18624-1,18627-1,18624-1,-0.0418409576416014,2.4433333333333387,0.6728362642896942,0.6763108988477317,31.18,0.37,0.34,31.56,0.35,0.33,30.94,0.33,0.33,34.87,0.36,0.37,32.34,0.31,0.33,33.8,0.32,0.36,jnk1,jacs_set
86,edge_18629-1_18624-1,18629-1,18624-1,0.7531212768554686,1.8766666666666647,0.3380165546767819,0.3523316636574886,38.83,0.31,0.33,38.86,0.38,0.36,38.91,0.38,0.35,41.23,0.24,0.39,40.51,0.32,0.4,40.49,0.32,0.32,jnk1,jacs_set
87,edge_18630-1_18624-1,18630-1,18624-1,2.719602394104004,1.576666666666668,0.3694033415857326,0.3602973547202969,35.55,0.3,0.32,35.68,0.34,0.33,35.99,0.39,0.36,36.89,0.31,0.3,37.26,0.33,0.34,37.8,0.35,0.34,jnk1,jacs_set
88,edge_18636-1_18624-1,18636-1,18624-1,-4.100318084716797,5.943333333333332,0.500751139493136,0.5550912957057049,26.82,0.38,0.39,27.6,0.35,0.37,27.36,0.37,0.4,33.76,0.41,0.49,32.43,0.51,0.59,33.42,0.43,0.64,jnk1,jacs_set
89,edge_18628-1_18625-1,18628-1_flip,18625-1,2.4685606384277343,-1.7299999999999998,0.293264926032362,0.3580556330198991,3.61,0.34,0.35,3.5,0.35,0.36,3.87,0.33,0.33,2.23,0.24,0.44,1.83,0.29,0.42,1.73,0.28,0.48,jnk1,jacs_set
90,edge_18629-1_18625-1,18629-1,18625-1,2.343041755676269,1.8933333333333344,1.1592467000639048,1.1858453706313128,18.81,0.36,0.4,18.81,0.39,0.38,18.33,0.35,0.39,19.67,0.45,0.47,23.19,0.48,0.85,18.77,0.41,0.4,jnk1,jacs_set
